,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
6473,53klYJJYWfXzCzIRiYDtzj,0.812,0.523,7,-7.213,1,0.0332,0.0634,0,0.0765,0.696,95.114,audio_features,53klYJJYWfXzCzIRiYDtzj,spotify:track:53klYJJYWfXzCzIRiYDtzj,https://api.spotify.com/v1/tracks/53klYJJYWfXzCzIRiYDtzj,https://api.spotify.com/v1/audio-analysis/53klYJJYWfXzCzIRiYDtzj,234200,4,?letter?
6474,7L9LK2RdTFErhwnUgbXonM,0.776,0.636,2,-9.235,1,0.0736,0.138,0.00192,0.101,0.598,99.998,audio_features,7L9LK2RdTFErhwnUgbXonM,spotify:track:7L9LK2RdTFErhwnUgbXonM,https://api.spotify.com/v1/tracks/7L9LK2RdTFErhwnUgbXonM,https://api.spotify.com/v1/audio-analysis/7L9LK2RdTFErhwnUgbXonM,204600,4,The Movement
6475,5kodX2U1nMnykQ0y7d0xSs,0.707,0.696,7,-8.034,1,0.134,0.398,0,0.0953,0.469,96.008,audio_features,5kodX2U1nMnykQ0y7d0xSs,spotify:track:5kodX2U1nMnykQ0y7d0xSs,https://api.spotify.com/v1/tracks/5kodX2U1nMnykQ0y7d0xSs,https://api.spotify.com/v1/audio-analysis/5kodX2U1nMnykQ0y7d0xSs,222253,4,Sweet Home California
6476,2bdn8nZOB8hKscNcwEK3DL,0.89,0.724,8,-5.074,1,0.288,0.343,0,0.142,0.869,98.045,audio_features,2bdn8nZOB8hKscNcwEK3DL,spotify:track:2bdn8nZOB8hKscNcwEK3DL,https://api.spotify.com/v1/tracks/2bdn8nZOB8hKscNcwEK3DL,https://api.spotify.com/v1/audio-analysis/2bdn8nZOB8hKscNcwEK3DL,214107,4,Hometown
6477,03Fl0cFKmbeusHppCZk2kH,0.677,0.816,8,-8.429,1,0.355,0.684,0,0.406,0.894,171.983,audio_features,03Fl0cFKmbeusHppCZk2kH,spotify:track:03Fl0cFKmbeusHppCZk2kH,https://api.spotify.com/v1/tracks/03Fl0cFKmbeusHppCZk2kH,https://api.spotify.com/v1/audio-analysis/03Fl0cFKmbeusHppCZk2kH,238360,4,Cows Come Home
6478,0vzSdr6SsnskLoNgtpqtVU,0.719,0.526,9,-9.376,0,0.102,0.289,0,0.0861,0.439,82.936,audio_features,0vzSdr6SsnskLoNgtpqtVU,spotify:track:0vzSdr6SsnskLoNgtpqtVU,https://api.spotify.com/v1/tracks/0vzSdr6SsnskLoNgtpqtVU,https://api.spotify.com/v1/audio-analysis/0vzSdr6SsnskLoNgtpqtVU,280080,4,Moonshine (feat. Danny Boone)
6479,2A2KcayXMOvOBmhzBFAcGY,0.884,0.567,1,-6.334,1,0.244,0.428,0,0.111,0.945,99.987,audio_features,2A2KcayXMOvOBmhzBFAcGY,spotify:track:2A2KcayXMOvOBmhzBFAcGY,https://api.spotify.com/v1/tracks/2A2KcayXMOvOBmhzBFAcGY,https://api.spotify.com/v1/audio-analysis/2A2KcayXMOvOBmhzBFAcGY,234000,4,Hazard County
6480,11BEMB69aWeEwQh9oAaVm6,0.849,0.797,9,-5.666,1,0.0792,0.287,0,0.0667,0.955,86.988,audio_features,11BEMB69aWeEwQh9oAaVm6,spotify:track:11BEMB69aWeEwQh9oAaVm6,https://api.spotify.com/v1/tracks/11BEMB69aWeEwQh9oAaVm6,https://api.spotify.com/v1/audio-analysis/11BEMB69aWeEwQh9oAaVm6,256133,4,Tex for Mayor
6481,3VTYWfyMYABDfOsrz54IfX,0.646,0.613,0,-6.476,1,0.0367,0.276,1.01e-05,0.124,0.538,80.005,audio_features,3VTYWfyMYABDfOsrz54IfX,spotify:track:3VTYWfyMYABDfOsrz54IfX,https://api.spotify.com/v1/tracks/3VTYWfyMYABDfOsrz54IfX,https://api.spotify.com/v1/audio-analysis/3VTYWfyMYABDfOsrz54IfX,289653,4,If I Walk Away
6482,64pfwivc3ryRiaeXUWv13D,0.79,0.555,1,-6.562,1,0.113,0.0174,0,0.3,0.732,90.005,audio_features,64pfwivc3ryRiaeXUWv13D,spotify:track:64pfwivc3ryRiaeXUWv13D,https://api.spotify.com/v1/tracks/64pfwivc3ryRiaeXUWv13D,https://api.spotify.com/v1/audio-analysis/64pfwivc3ryRiaeXUWv13D,233840,4,Big Riggin'
6483,3AbgJ71coQ8dymSxerqhvx,0.855,0.791,9,-4.944,0,0.0742,0.538,6.8e-06,0.13,0.846,87.993,audio_features,3AbgJ71coQ8dymSxerqhvx,spotify:track:3AbgJ71coQ8dymSxerqhvx,https://api.spotify.com/v1/tracks/3AbgJ71coQ8dymSxerqhvx,https://api.spotify.com/v1/audio-analysis/3AbgJ71coQ8dymSxerqhvx,266387,4,California Hoedown (feat. Derrty D)
6484,2qMLtdOblIR5GrpbTbBlR2,0.876,0.881,7,-5.174,1,0.121,0.0517,0,0.0934,0.943,102.009,audio_features,2qMLtdOblIR5GrpbTbBlR2,spotify:track:2qMLtdOblIR5GrpbTbBlR2,https://api.spotify.com/v1/tracks/2qMLtdOblIR5GrpbTbBlR2,https://api.spotify.com/v1/audio-analysis/2qMLtdOblIR5GrpbTbBlR2,228160,4,Country Livin' backroads (Remix) [feat. Bubba Sparxxx]
6485,2sn2frPhdoY5vY7TebsyUg,0.909,0.631,11,-5.108,0,0.247,0.371,0,0.0358,0.718,89.99,audio_features,2sn2frPhdoY5vY7TebsyUg,spotify:track:2sn2frPhdoY5vY7TebsyUg,https://api.spotify.com/v1/tracks/2sn2frPhdoY5vY7TebsyUg,https://api.spotify.com/v1/audio-analysis/2sn2frPhdoY5vY7TebsyUg,259173,4,World in Flames
6486,6jJaklsBPZBYX2KlNP1T9c,0.81,0.688,7,-6.636,1,0.204,0.0323,0,0.198,0.474,86.029,audio_features,6jJaklsBPZBYX2KlNP1T9c,spotify:track:6jJaklsBPZBYX2KlNP1T9c,https://api.spotify.com/v1/tracks/6jJaklsBPZBYX2KlNP1T9c,https://api.spotify.com/v1/audio-analysis/6jJaklsBPZBYX2KlNP1T9c,310027,4,Go Hard (Remix) [feat. Celly Cel & Jay Tee]
