,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
42,2HrNx1LTrdxXPsxevkme0D,0.851,0.826,5,-5.523,0,0.195,0.113,7.6e-06,0.0561,0.574,95.04,audio_features,2HrNx1LTrdxXPsxevkme0D,spotify:track:2HrNx1LTrdxXPsxevkme0D,https://api.spotify.com/v1/tracks/2HrNx1LTrdxXPsxevkme0D,https://api.spotify.com/v1/audio-analysis/2HrNx1LTrdxXPsxevkme0D,238051,4,51FIFTY
43,3gZzuYIulP8xvTIDsApprM,0.77,0.905,1,-5.523,0,0.17,0.264,0,0.116,0.611,100.017,audio_features,3gZzuYIulP8xvTIDsApprM,spotify:track:3gZzuYIulP8xvTIDsApprM,https://api.spotify.com/v1/tracks/3gZzuYIulP8xvTIDsApprM,https://api.spotify.com/v1/audio-analysis/3gZzuYIulP8xvTIDsApprM,233408,4,Full Throttle
44,3Wa5iTouvzvBwyLkyRsjzq,0.765,0.907,5,-5.562,0,0.115,0.0011,0.028,0.246,0.89,119.952,audio_features,3Wa5iTouvzvBwyLkyRsjzq,spotify:track:3Wa5iTouvzvBwyLkyRsjzq,https://api.spotify.com/v1/tracks/3Wa5iTouvzvBwyLkyRsjzq,https://api.spotify.com/v1/audio-analysis/3Wa5iTouvzvBwyLkyRsjzq,211018,4,My Way
45,6vKN8b4gyO0QznmYb1EHAQ,0.688,0.762,2,-5.278,1,0.0342,0.00155,0,0.289,0.74,119.994,audio_features,6vKN8b4gyO0QznmYb1EHAQ,spotify:track:6vKN8b4gyO0QznmYb1EHAQ,https://api.spotify.com/v1/tracks/6vKN8b4gyO0QznmYb1EHAQ,https://api.spotify.com/v1/audio-analysis/6vKN8b4gyO0QznmYb1EHAQ,228834,4,Lady Luck
46,56SU9tfSoBMbLSQQOuZUC8,0.728,0.624,7,-5.273,1,0.315,0.0485,0.00117,0.0897,0.634,189.997,audio_features,56SU9tfSoBMbLSQQOuZUC8,spotify:track:56SU9tfSoBMbLSQQOuZUC8,https://api.spotify.com/v1/tracks/56SU9tfSoBMbLSQQOuZUC8,https://api.spotify.com/v1/audio-analysis/56SU9tfSoBMbLSQQOuZUC8,147511,4,Not Tonight
47,6UMaPYycq7mDwdElyVsxa1,0.531,0.765,7,-3.289,1,0.224,0.431,0,0.273,0.0936,87.725,audio_features,6UMaPYycq7mDwdElyVsxa1,spotify:track:6UMaPYycq7mDwdElyVsxa1,https://api.spotify.com/v1/tracks/6UMaPYycq7mDwdElyVsxa1,https://api.spotify.com/v1/audio-analysis/6UMaPYycq7mDwdElyVsxa1,126973,4,The Sermon (Intro)
48,5rcgbAhkyhviW9rqe0yhzL,0.721,0.958,2,-3.434,1,0.0933,0.24,2.71e-06,0.355,0.564,99.972,audio_features,5rcgbAhkyhviW9rqe0yhzL,spotify:track:5rcgbAhkyhviW9rqe0yhzL,https://api.spotify.com/v1/tracks/5rcgbAhkyhviW9rqe0yhzL,https://api.spotify.com/v1/audio-analysis/5rcgbAhkyhviW9rqe0yhzL,193613,4,I’m A HellRazor
49,0yJwzw6ZuU4C6aDqWv6jkF,0.667,0.859,7,-2.74,1,0.0653,0.534,0,0.156,0.44,112.004,audio_features,0yJwzw6ZuU4C6aDqWv6jkF,spotify:track:0yJwzw6ZuU4C6aDqWv6jkF,https://api.spotify.com/v1/tracks/0yJwzw6ZuU4C6aDqWv6jkF,https://api.spotify.com/v1/audio-analysis/0yJwzw6ZuU4C6aDqWv6jkF,177693,4,"Red, White, & Blue Collar"
50,5XQyeqM8atdA2mWIV5dVSH,0.77,0.65,9,-5.006,0,0.112,0.217,0,0.12,0.669,115.036,audio_features,5XQyeqM8atdA2mWIV5dVSH,spotify:track:5XQyeqM8atdA2mWIV5dVSH,https://api.spotify.com/v1/tracks/5XQyeqM8atdA2mWIV5dVSH,https://api.spotify.com/v1/audio-analysis/5XQyeqM8atdA2mWIV5dVSH,202040,4,Stomp Like Hell
51,2T5tbTaqwyPjv6hW6ThElm,0.851,0.85,5,-4.643,0,0.191,0.115,4.03e-06,0.0616,0.533,95.029,audio_features,2T5tbTaqwyPjv6hW6ThElm,spotify:track:2T5tbTaqwyPjv6hW6ThElm,https://api.spotify.com/v1/tracks/2T5tbTaqwyPjv6hW6ThElm,https://api.spotify.com/v1/audio-analysis/2T5tbTaqwyPjv6hW6ThElm,238293,4,51FIFTY
